Date,Activity,Group,Duration,Distance,Steps,Calories
10/27/14,walking,walking,10428,7.291,14857,764
10/27/14,transport,transport,1331,3.974,0,0
10/28/14,walking,walking,6485,5.133,10218,538
10/29/14,walking,walking,5759,4.412,8985,462
10/30/14,walking,walking,7797,5.889,11903,617
10/30/14,transport,transport,1702,4.915,0,0
10/31/14,walking,walking,5018,4.083,7997,428
10/31/14,transport,transport,1892,6.313,0,0
11/1/14,walking,walking,4581,3.512,7136,368
11/1/14,transport,transport,850,2.760,0,0
11/2/14,walking,walking,5159,3.895,8145,408
11/3/14,walking,walking,5866,4.860,9595,509
11/3/14,transport,transport,544,0.527,0,0
11/4/14,transport,transport,456,0.442,0,0
11/4/14,walking,walking,6400,4.846,10182,508
11/5/14,walking,walking,5351,4.101,8410,430
11/6/14,walking,walking,6336,4.743,9535,497
11/7/14,walking,walking,8736,6.127,12863,642
11/8/14,walking,walking,3378,1.999,4670,209
11/8/14,transport,transport,10509,115.121,0,0
11/9/14,walking,walking,2780,1.950,3691,204
11/10/14,walking,walking,6708,4.951,10366,519
11/11/14,walking,walking,5377,4.017,8637,421
11/12/14,walking,walking,10954,9.772,16684,1024
11/12/14,transport,transport,990,5.943,0,0
11/13/14,walking,walking,5713,4.407,9293,462
