Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
12/11/14,walking,walking,2014-12-11T06:45:22-06:00,2014-12-11T06:45:52-06:00,30,0.019,61,2
12/11/14,walking,walking,2014-12-11T06:49:16-06:00,2014-12-11T06:53:57-06:00,281,0.197,433,21
12/11/14,walking,walking,2014-12-11T06:57:10-06:00,2014-12-11T07:17:23-06:00,1213,1.292,1886,135
12/11/14,walking,walking,2014-12-11T07:30:00-06:00,2014-12-11T07:33:01-06:00,181,0.100,214,10
12/11/14,walking,walking,2014-12-11T09:22:48-06:00,2014-12-11T09:29:52-06:00,424,0.244,523,26
12/11/14,walking,walking,2014-12-11T10:01:47-06:00,2014-12-11T10:06:47-06:00,300,0.161,345,17
12/11/14,walking,walking,2014-12-11T11:08:21-06:00,2014-12-11T11:14:21-06:00,360,0.227,488,24
12/11/14,walking,walking,2014-12-11T12:25:29-06:00,2014-12-11T12:27:49-06:00,140,0.088,190,9
12/11/14,walking,walking,2014-12-11T12:29:00-06:00,2014-12-11T12:57:30-06:00,1710,1.311,2499,137
12/11/14,walking,walking,2014-12-11T17:31:35-06:00,2014-12-11T17:32:35-06:00,60,0.025,81,3
12/11/14,walking,walking,2014-12-11T18:22:22-06:00,2014-12-11T18:22:52-06:00,30,0.016,51,2
12/12/14,walking,walking,2014-12-12T06:32:08-06:00,2014-12-12T06:33:08-06:00,60,0.022,71,2
12/12/14,walking,walking,2014-12-12T06:40:26-06:00,2014-12-12T07:01:52-06:00,1286,1.128,2391,118
12/12/14,walking,walking,2014-12-12T07:04:19-06:00,2014-12-12T07:10:19-06:00,360,0.222,478,23
12/12/14,walking,walking,2014-12-12T09:36:28-06:00,2014-12-12T09:40:28-06:00,240,0.147,314,15
12/12/14,walking,walking,2014-12-12T12:14:54-06:00,2014-12-12T12:17:54-06:00,180,0.132,284,14
12/12/14,walking,walking,2014-12-12T12:28:22-06:00,2014-12-12T12:52:30-06:00,1448,1.184,2378,124
12/12/14,walking,walking,2014-12-12T12:52:45-06:00,2014-12-12T12:53:15-06:00,30,0.009,30,1
12/12/14,walking,walking,2014-12-12T13:24:20-06:00,2014-12-12T13:24:50-06:00,30,0.009,30,1
12/12/14,walking,walking,2014-12-12T14:00:46-06:00,2014-12-12T14:02:17-06:00,91,0.045,143,5
12/12/14,transport,transport,2014-12-12T14:02:52-06:00,2014-12-12T14:30:48-06:00,1676,3.985,0,0
12/12/14,walking,walking,2014-12-12T14:30:47-06:00,2014-12-12T14:43:30-06:00,763,0.358,1053,37
12/12/14,walking,walking,2014-12-12T14:45:18-06:00,2014-12-12T14:46:48-06:00,90,0.038,122,4
12/12/14,walking,walking,2014-12-12T15:09:26-06:00,2014-12-12T15:16:13-06:00,407,0.249,533,26
12/12/14,walking,walking,2014-12-12T15:53:10-06:00,2014-12-12T15:54:04-06:00,54,0.017,55,2
12/12/14,walking,walking,2014-12-12T16:06:11-06:00,2014-12-12T16:07:41-06:00,90,0.047,152,5
12/12/14,transport,transport,2014-12-12T16:11:56-06:00,2014-12-12T16:41:58-06:00,1802,5.789,0,0
12/12/14,walking,walking,2014-12-12T16:43:13-06:00,2014-12-12T16:52:13-06:00,540,0.322,690,34
12/12/14,walking,walking,2014-12-12T17:53:10-06:00,2014-12-12T18:11:31-06:00,1101,0.787,1697,82
12/12/14,walking,walking,2014-12-12T18:12:53-06:00,2014-12-12T18:13:53-06:00,60,0.032,102,3
12/12/14,walking,walking,2014-12-12T19:58:43-06:00,2014-12-12T20:17:09-06:00,1106,0.880,1871,92
12/12/14,walking,walking,2014-12-12T20:59:04-06:00,2014-12-12T20:59:34-06:00,30,0.009,30,1
12/12/14,walking,walking,2014-12-12T21:50:17-06:00,2014-12-12T21:50:47-06:00,30,0.009,30,1
12/12/14,walking,walking,2014-12-12T22:15:02-06:00,2014-12-12T22:44:00-06:00,1738,1.230,2789,129
12/12/14,walking,walking,2014-12-12T23:27:33-06:00,2014-12-12T23:28:03-06:00,30,0.009,30,1
12/13/14,walking,walking,2014-12-13T09:05:22-06:00,2014-12-13T09:08:22-06:00,180,0.084,122,9
12/13/14,walking,walking,2014-12-13T10:08:18-06:00,2014-12-13T10:18:50-06:00,632,0.511,1056,54
12/13/14,walking,walking,2014-12-13T11:54:35-06:00,2014-12-13T11:55:35-06:00,60,0.019,51,2
12/13/14,walking,walking,2014-12-13T11:59:35-06:00,2014-12-13T12:04:46-06:00,311,0.219,411,23
12/13/14,walking,walking,2014-12-13T12:07:06-06:00,2014-12-13T12:08:36-06:00,90,0.032,101,3
12/13/14,walking,walking,2014-12-13T12:27:56-06:00,2014-12-13T12:36:50-06:00,534,0.308,700,32
12/13/14,walking,walking,2014-12-13T12:39:49-06:00,2014-12-13T12:48:49-06:00,540,0.431,925,45
12/13/14,walking,walking,2014-12-13T13:08:40-06:00,2014-12-13T13:22:16-06:00,816,0.618,1361,65
12/13/14,walking,walking,2014-12-13T13:37:06-06:00,2014-12-13T13:37:36-06:00,30,0.016,51,2
12/13/14,walking,walking,2014-12-13T14:05:49-06:00,2014-12-13T14:06:19-06:00,30,0.012,41,1
12/13/14,walking,walking,2014-12-13T16:43:29-06:00,2014-12-13T16:43:59-06:00,30,0.016,51,2
12/13/14,walking,walking,2014-12-13T17:18:13-06:00,2014-12-13T17:18:43-06:00,30,0.019,61,2
12/13/14,walking,walking,2014-12-13T20:49:12-06:00,2014-12-13T20:50:12-06:00,60,0.028,91,3
12/14/14,walking,walking,2014-12-14T10:18:29-06:00,2014-12-14T10:18:59-06:00,30,0.009,20,1
